label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
INTL_ACTORS,un,unprovoked,False,0.0,-1.8539,-1.4853,0,0,
PAL_POLITICAL,pa,passive,False,0.0,0.0607,0.2603,0,0,
INTL_ACTORS,un,collective,False,0.0,0.1211,0.3669,0,0,
INTL_ACTORS,un,behavioral,False,0.0,0.1201,-0.2733,0,0,
PAL_POLITICAL,pa,profound,False,0.0,0.2498,1.0858,0,0,
PAL_POLITICAL,pa,massive,False,-0.8418,0.1972,-0.7881,0,0,
INTL_ACTORS,un,logistical,False,-0.8418,0.4142,-0.5372,0,0,
INTL_ACTORS,iran,blind,False,-0.8004,-1.0313,-0.4057,0,0,
INTL_ACTORS,iran,terrorist,False,-0.8004,-0.5389,-2.5498,0,0,
ISR_POLITICAL,israel,justified,False,0.6404,-0.8712,0.0453,0,0,
ISR_POLITICAL,israel,imminent,False,0.6404,-0.8919,-0.4877,0,0,
PAL_POLITICAL,pa,runaway,False,-0.8644,-1.2962,-0.7672,0,0,
PAL_POLITICAL,pa,hostile,False,-0.8644,-1.1626,-1.6131,0,0,
ISR_POLITICAL,israel,disproportionate,False,-0.7904,-1.6693,-0.9364,0,0,
ISR_POLITICAL,israel,disproportionate,False,-0.8678,-1.6693,-0.9364,0,0,
ISR_POLITICAL,israel,gargantuan,False,-0.8678,-0.6215,-0.6108,0,0,
INTL_ACTORS,un,hostile,False,-0.8678,-1.1626,-1.6131,0,0,
ISR_POLITICAL,israel,existential,False,-0.6078,-0.631,0.5361,0,0,
PAL_POLITICAL,pa,hygienic,False,-0.6078,0.3906,0.5331,0,0,
ISR_POLITICAL,israel,defensive,False,-0.6267,-0.1636,-0.3229,0,0,
ISR_POLITICAL,israel,defensive,False,-0.6267,-0.1636,-0.3229,0,0,
ISR_POLITICAL,israel,offensive,False,-0.6267,-0.5148,-1.0666,0,0,
ISR_POLITICAL,israel,annihilationist,False,-0.719,-0.5602,-0.7872,0,0,
ISR_POLITICAL,israel,moral,False,-0.6279,-0.5166,1.4258,0,0,
INTL_ACTORS,iran,modern,False,-0.7569,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.7569,0.5733,0.5064,0,0,
INTL_ACTORS,iran,modern,False,-0.8334,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.8334,0.5733,0.5064,0,0,
