entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
gaza,PAL_RESISTANCE,iran,INTL_ACTORS,24,222,306,0.0476,-0.2332
lebanon,INTL_ACTORS,un,INTL_ACTORS,24,53,722,0.032,0.5948
iran,INTL_ACTORS,trump,INTL_ACTORS,23,306,135,0.055,0.423
qatar,INTL_ACTORS,turkey,INTL_ACTORS,22,41,38,0.386,5.0876
idf,ISR_MILITARY,un,INTL_ACTORS,22,51,722,0.0293,0.5248
saudi arabia,INTL_ACTORS,un,INTL_ACTORS,21,29,722,0.0288,1.2721
qatar,INTL_ACTORS,un,INTL_ACTORS,21,41,722,0.0283,0.7725
pa,PAL_POLITICAL,syria,INTL_ACTORS,21,588,63,0.0333,0.449
netanyahu,ISR_POLITICAL,pa,PAL_POLITICAL,21,56,588,0.0337,0.6189
turkey,INTL_ACTORS,un,INTL_ACTORS,20,38,722,0.027,0.8118
hamas,PAL_ORG,trump,INTL_ACTORS,19,168,135,0.0669,1.0124
hezbollah,INTL_ACTORS,pa,PAL_POLITICAL,19,41,588,0.0311,0.9243
hamas,PAL_ORG,usa,INTL_ACTORS,19,168,268,0.0456,0.0231
hezbollah,INTL_ACTORS,israel,ISR_POLITICAL,18,41,788,0.0222,0.4239
